ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
1,BLL,,001,1,,,,,2010-04-17T10:43:00,2010-04-17 14:43,EASTERN,46.53545,-84.21324,,,,,,VR2W,69,109437,,,,,,,,,,Y,SMRSL,N
2,BRS,,001,1,,,,,2010-04-20T07:07:00,2010-04-20 11:07,EASTERN,46.47038,-84.46027,,,,,,VR2W,69,109439,,,,,,,,,,Y,SMRSL,N
3,BRS,,002,1,,,,,2010-04-20T06:54:00,2010-04-20 10:54,EASTERN,46.47306,-84.46463,,,,,,VR2W,69,109419,,,,,,,,,,Y,SMRSL,N
4,CKI,,001,1,,,,,2010-04-17T06:04:00,2010-04-17 10:04,EASTERN,46.49498,-84.26934,,,,,,VR2W,69,109450,,,,,,,,,,Y,SMRSL,Y
5,CKI,,001,2,,,,,2010-04-28T05:00:00,2010-04-28 09:00,EASTERN,46.49495,-84.26937,,,,,,VR2W,69,109450,,,,,,,,,,Y,SMRSL,Y
6,CKI,,001,3,,,,,2010-06-24T10:25:00,2010-06-24 14:25,EASTERN,46.49498,-84.26924,,,,,,VR2W,69,109450,,,,,,,,,,Y,SMRSL,Y
7,CKI,,002,1,,,,,2010-04-17T05:50:00,2010-04-17 09:50,EASTERN,46.49657,-84.26933,,,,,,VR2W,69,109409,,,,,,,,,,Y,SMRSL,Y
8,CKI,,002,2,,,,,2010-04-28T05:41:00,2010-04-28 09:41,EASTERN,46.49654,-84.26933,,,,,,VR2W,69,109409,,,,,,,,,,Y,SMRSL,Y
9,CKI,,002,3,,,,,2010-06-24T10:01:00,2010-06-24 14:01,EASTERN,46.49663,-84.26933,,,,,,VR2W,69,109409,,,,,,,,,,Y,SMRSL,Y
10,CKI,,003,1,,,,,2010-05-19T11:19:00,2010-05-19 15:19,EASTERN,46.49561,-84.27082,,,,,,VR2W,69,109973,,,,,,,,,,Y,SMRSL,Y
11,CKI,,004,1,,,,,2010-04-17T05:25:00,2010-04-17 09:25,EASTERN,46.49456,-84.27225,,,,,,VR2W,69,109457,,,,,,,,,,Y,SMRSL,Y
12,CKI,,004,2,,,,,2010-04-28T04:21:00,2010-04-28 08:21,EASTERN,46.49458,-84.27228,,,,,,VR2W,69,109457,,,,,,,,,,Y,SMRSL,Y
13,CKI,,004,3,,,,,2010-04-28T05:16:00,2010-04-28 09:16,EASTERN,46.49464,-84.27226,,,,,,VR2W,69,109457,,,,,,,,,,Y,SMRSL,Y
14,CKI,,005,1,,,,,2010-04-17T05:38:00,2010-04-17 09:38,EASTERN,46.49594,-84.27301,,,,,,VR2W,69,109440,,,,,,,,,,Y,SMRSL,Y
15,CKI,,005,2,,,,,2010-04-28T05:56:00,2010-04-28 09:56,EASTERN,46.49594,-84.27306,,,,,,VR2W,69,109440,,,,,,,,,,Y,SMRSL,Y
16,DCK,,001,1,,,,,2010-04-19T08:57:00,2010-04-19 12:57,EASTERN,46.35878,-84.13341,,,,,,VR2W,69,109405,,,,,,,,,,Y,SMRSL,N
17,DCK,,002,1,,,,,2010-04-19T08:49:00,2010-04-19 12:49,EASTERN,46.36021,-84.12914,,,,,,VR2W,69,109429,,,,,,,,,,Y,SMRSL,N
18,DCK,,002,2,,,,,2010-06-23T10:52:00,2010-06-23 14:52,EASTERN,46.36018,-84.12912,,,,,,VR2W,69,109429,,,,,,,,,,Y,SMRSL,N
19,ECH,,001,1,,,,,2010-04-26T10:20:00,2010-04-26 14:20,EASTERN,46.50867,-84.04574,,,,,,VR2W,69,109425,,,,,,,,,,Y,SMRSL,N
20,ECH,,002,1,,,,,2010-04-26T09:40:00,2010-04-26 13:40,EASTERN,46.51989,-84.02023,,,,,,VR2W,69,109466,,,,,,,,,,Y,SMRSL,N
21,EDS,,001,1,,,,,2010-04-16T05:47:00,2010-04-16 09:47,EASTERN,46.49862,-84.33339,,,,,,VR2W,69,109413,,,,,,,,,,Y,SMRSL,Y
22,EDS,,002,1,,,,,2010-04-16T05:31:00,2010-04-16 09:31,EASTERN,46.49885,-84.33390,,,,,,VR2W,69,109463,,,,,,,,,,Y,SMRSL,Y
23,EDS,,002,2,,,,,2010-06-24T07:25:00,2010-06-24 11:25,EASTERN,46.49887,-84.33388,,,,,,VR2W,69,109463,,,,,,,,,,Y,SMRSL,Y
24,EDS,,003,1,,,,,2010-04-16T05:20:00,2010-04-16 09:20,EASTERN,46.49858,-84.33414,,,,,,VR2W,69,109414,,,,,,,,,,Y,SMRSL,Y
25,GRD,,001,1,,,,,2010-04-17T10:10:00,2010-04-17 14:10,EASTERN,46.52906,-84.15081,,,,,,VR2W,69,109442,,,,,,,,,,Y,SMRSL,Y
26,GRD,,001,2,,,,,2010-04-27T12:20:00,2010-04-27 16:20,EASTERN,46.52904,-84.15079,,,,,,VR2W,69,109442,,,,,,,,,,Y,SMRSL,Y
27,GRD,,001,3,,,,,2010-05-13T12:09:00,2010-05-13 16:09,EASTERN,46.52886,-84.15104,,,,,,VR2W,69,109442,,,,,,,,,,Y,SMRSL,Y
28,GRD,,001,4,,,,,2010-06-21T12:10:00,2010-06-21 16:10,EASTERN,46.52890,-84.15105,,,,,,VR2W,69,109442,,,,,,,,,,Y,SMRSL,Y
29,GRD,,002,1,,,,,2010-04-17T09:57:00,2010-04-17 13:57,EASTERN,46.52965,-84.15154,,,,,,VR2W,69,109417,,,,,,,,,,Y,SMRSL,Y
30,GRD,,002,2,,,,,2010-04-26T15:21:00,2010-04-26 19:21,EASTERN,46.52967,-84.15154,,,,,,VR2W,69,109417,,,,,,,,,,Y,SMRSL,Y
31,GRD,,002,3,,,,,2010-05-13T12:55:00,2010-05-13 16:55,EASTERN,46.52974,-84.15165,,,,,,VR2W,69,109417,,,,,,,,,,Y,SMRSL,Y
32,GRD,,002,4,,,,,2010-05-26T15:19:00,2010-05-26 19:19,EASTERN,46.52991,-84.15147,,,,,,VR2W,69,109417,,,,,,,,,,Y,SMRSL,Y
