ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS
1,BLL,,001,1,,,,,109437,,2010-07-30T04:13:00,2010-07-30 08:13,EASTERN,,,SMRSL,N
2,BRS,,001,1,,,,,109439,,2010-08-01T04:00:00,2010-08-01 08:00,EASTERN,,,SMRSL,N
3,CKI,,001,1,,,,,109450,,2010-04-28T04:32:00,2010-04-28 08:32,EASTERN,,,SMRSL,Y
4,CKI,,001,2,,,,,109450,,2010-06-24T10:11:00,2010-06-24 14:11,EASTERN,,,SMRSL,Y
5,CKI,,001,3,,,,,109450,,2010-07-30T11:52:00,2010-07-30 15:52,EASTERN,,,SMRSL,Y
6,CKI,,002,1,,,,,109409,,2010-04-28T05:26:00,2010-04-28 09:26,EASTERN,,,SMRSL,Y
7,CKI,,002,2,,,,,109409,,2010-06-24T09:39:00,2010-06-24 13:39,EASTERN,,,SMRSL,Y
8,CKI,,002,3,,,,,109409,,2010-07-30T09:27:00,2010-07-30 13:27,EASTERN,,,SMRSL,Y
9,CKI,,003,1,,,,,109973,,2010-07-30T12:11:00,2010-07-30 16:11,EASTERN,,,SMRSL,Y
10,CKI,,004,1,,,,,109457,,2010-04-28T04:00:00,2010-04-28 08:00,EASTERN,,,SMRSL,Y
11,CKI,,004,2,,,,,109457,,2010-04-28T05:07:00,2010-04-28 09:07,EASTERN,,,SMRSL,Y
12,CKI,,004,3,,,,,109457,,2010-07-30T11:27:00,2010-07-30 15:27,EASTERN,,,SMRSL,Y
13,CKI,,005,1,,,,,109440,,2010-04-28T05:48:00,2010-04-28 09:48,EASTERN,,,SMRSL,Y
14,CKI,,005,2,,,,,109440,,2010-07-30T10:28:00,2010-07-30 14:28,EASTERN,,,SMRSL,Y
15,DCK,,001,1,,,,,109405,,2010-07-29T05:08:00,2010-07-29 09:08,EASTERN,,,SMRSL,N
16,DCK,,002,1,,,,,109429,,2010-06-23T10:42:00,2010-06-23 14:42,EASTERN,,,SMRSL,N
17,DCK,,002,2,,,,,109429,,2010-07-29T06:11:00,2010-07-29 10:11,EASTERN,,,SMRSL,N
18,ECH,,001,1,,,,,109425,,2010-08-02T11:35:00,2010-08-02 15:35,EASTERN,,,SMRSL,N
19,ECH,,002,1,,,,,109466,,2010-08-02T12:20:00,2010-08-02 16:20,EASTERN,,,SMRSL,N
20,EDS,,001,1,,,,,109413,,2010-07-31T08:25:00,2010-07-31 12:25,EASTERN,,,SMRSL,Y
21,EDS,,002,1,,,,,109463,,2010-06-24T07:12:00,2010-06-24 11:12,EASTERN,,,SMRSL,Y
22,EDS,,002,2,,,,,109463,,2010-07-31T09:04:00,2010-07-31 13:04,EASTERN,,,SMRSL,Y
23,EDS,,003,1,,,,,109414,,2010-07-31T08:55:00,2010-07-31 12:55,EASTERN,,,SMRSL,Y
24,GRD,,001,1,,,,,109442,,2010-04-27T12:03:00,2010-04-27 16:03,EASTERN,,,SMRSL,Y
25,GRD,,001,2,,,,,109442,,2010-05-13T11:31:00,2010-05-13 15:31,EASTERN,,,SMRSL,Y
26,GRD,,001,3,,,,,109442,,2010-06-21T11:55:00,2010-06-21 15:55,EASTERN,,,SMRSL,Y
