ANIMAL_ID,TAG_TYPE,TAG_MANUFACTURER,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_IMPLANT_TYPE,TAG_ACTIVATION_DATE,EST_TAG_LIFE,TAGGER,TAG_OWNER_PI,TAG_OWNER_ORGANIZATION,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,WILD_OR_HATCHERY,STOCK,LENGTH,WEIGHT,LENGTH_TYPE,AGE,SEX,DNA_SAMPLE_TAKEN,TREATMENT_TYPE,RELEASE_GROUP,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,GLATOS_RELEASE_DATE_TIME,GLATOS_TIMEZONE,CAPTURE_DEPTH,TEMPERATURE_CHANGE,HOLDING_TEMPERATURE,SURGERY_LOCATION,DATE_OF_SURGERY,SURGERY_LATITUDE,SURGERY_LONGITUDE,SEDATIVE,SEDATIVE_CONCENTRATION,ANAESTHETIC,BUFFER,ANAESTHETIC_CONCENTRATION,BUFFER_CONCENTRATION_IN_ANAESTHETIC,ANESTHETIC_CONCENTRATION_IN_RECIRCULATION,BUFFER_CONCENTRATION_IN_RECIRCULATION,DISSOLVED_OXYGEN,COMMENTS,GLATOS_PROJECT,GLATOS_EXTERNAL_TAG_ID1,GLATOS_EXTERNAL_TAG_ID2,GLATOS_TAG_RECOVERED,GLATOS_CAUGHT_DATE,GLATOS_REWARD,
,,Vemco,V9P-2H,,2321,A69-9002,interpertioneal; surgical,2010-04-22,80,EL,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.54,0.3156,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2325,A69-9002,interpertioneal; surgical,2010-04-22,80,EL,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.508,0.284,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2329,A69-9002,interpertioneal; surgical,2010-04-22,80,EL,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.585,0.309,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2333,A69-9002,interpertioneal; surgical,2010-04-22,80,EL,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.57,0.347,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2337,A69-9002,interpertioneal; surgical,2010-04-22,80,EL,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.51,0.306,,,F,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2341,A69-9002,interpertioneal; surgical,2010-04-22,80,CH,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.48,0.249,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2345,A69-9002,interpertioneal; surgical,2010-04-22,80,CH,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.51,0.256,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2349,A69-9002,interpertioneal; surgical,2010-04-22,80,CH,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.48,0.251,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2322,A69-9002,interpertioneal; surgical,2010-04-22,80,CH,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.5,0.285,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
,,Vemco,V9P-2H,,2326,A69-9002,interpertioneal; surgical,2010-04-22,80,CH,Chris Holbrook,USGS Hammond Bay Biological Station,sea lamprey,Petromyzon marinus,Cheboygan River,,,,,0.55,0.354,,,M,,,MNS-01,Munuscong Lake,,,2010-04-25T19:00:00,2010-04-25 23:00,EASTERN,,,,Hammond Bay Biological Station,2010-04-22,,,,,,,,,,,,,SMRSL,,,,,,
