ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,AR_MODEL_NUMBER,AR_SERIAL_NUMBER,AR_BATTERY_INSTALL_DATE,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_TILT_AFTER_DEPLOY,AR_INTERROGATE_CODE,AR_RECEIVE_FREQUENCY,AR_REPLY_FREQUENCY,AR_PING_RATE,AR_ENABLE_CODE_ADDRESS,AR_RELEASE_CODE,AR_DISABLE_CODE,AR_TILT_CODE,DEPLOYED_BY,GLATOS_STATUS,GLATOS_SEASONAL,GLATOS_STUDY,FREQUENCY
1,BLL,001,,,,,4/26/2011,46.53548,-84.21334,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
2,BRS,001,,,,,4/27/2011,46.47057,-84.4601,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
3,BRS,002,,,,,4/27/2011,46.47314,-84.46475,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
4,CHR,001,,,,,4/26/2011,46.32385,-84.23487,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
5,CKI,001,,,,,4/26/2011,46.49511,-84.26829,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
6,CKI,002,,,,,5/11/2011,46.49664,-84.2621,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
7,CKI,003,,,,,4/26/2011,46.49564,-84.27901,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
8,CKI,004,,,,,4/26/2011,46.4946,-84.27208,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
9,CKI,005,,,,,4/26/2011,46.49582,-84.27356,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
10,DCK,001,,,,,4/25/2011,46.35817,-84.1351,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
11,DCK,002,,,,,4/25/2011,46.3603,-84.12911,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
