ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,RECOVER_LAT,RECOVER_LONG,GLATOS_STUDY
1,BLL,001,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.53548,-84.21334,STM
2,BRS,001,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.47057,-84.4601,STM
3,BRS,002,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.47314,-84.46475,STM
4,CHR,001,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.32385,-84.23487,STM
5,CKI,001,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.49511,-84.26829,STM
6,CKI,002,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.49664,-84.2621,STM
7,CKI,003,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.49564,-84.27901,STM
8,CKI,004,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.4946,-84.27208,STM
9,CKI,005,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.49582,-84.27356,STM
10,DCK,001,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.35817,-84.1351,STM
11,DCK,002,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.3603,-84.12911,STM
12,EDS,001,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.49858,-84.33344,STM
13,EDS,002,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.49879,-84.3339,STM
14,EDS,003,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.49855,-84.33418,STM
15,EDS,004,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.49831,-84.33359,STM
16,GRD,002,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.52976,-84.15162,STM
17,GRD,003,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.52865,-84.15153,STM
18,GRD,004,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.52936,-84.15208,STM
19,GRD,005,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.52819,-84.15257,STM
20,GRD,006,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.52884,-84.15327,STM
21,GRD,010,,,FALSE,FALSE,VR2 W,,,8/9/2011,46.53321,-84.15925,STM
22,GRD,011,,,FALSE,FALSE,VR2 W,,,8/9/2011,46.53402,-84.15312,STM
23,IS1,002,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.47802,-84.29275,STM
24,IS1,004,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.48143,-84.3983,STM
25,LRC,001,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.26305,-84.18961,STM
26,LRC,003,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.26505,-84.1865,STM
27,LRC,004,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.26421,-84.18837,STM
28,LRC,005,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.26354,-84.18998,STM
29,LRC,006,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.26476,-84.18876,STM
30,LRC,007,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.26414,-84.19046,STM
31,LRP,001,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.48011,-84.2878,STM
32,MNB,001,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.32634,-84.15932,STM
33,MNB,002,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.32631,-84.15779,STM
34,MNB,005,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.3259,-84.15764,STM
35,OVP,001,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.49767,-84.38947,STM
36,OVP,002,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.50206,-84.39233,STM
37,OVP,003,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.50366,-84.39418,STM
38,PCH,001,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.52568,-84.17261,STM
39,PCH,002,,,FALSE,FALSE,VR2 W,,,8/8/2011,46.52794,-84.12245,STM
40,RNS,003,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.25246,-84.09887,STM
41,RNS,006,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.2536,-84.1023,STM
42,RTR,001,,,FALSE,FALSE,VR2 W,,,8/9/2011,46.54233,-84.21272,STM
43,RTR,002,,,FALSE,FALSE,VR2 W,,,8/9/2011,46.54275,-84.21596,STM
44,RVR,001,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.46682,-84.29266,STM
45,RVR,002,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.47621,-84.30229,STM
46,SQR,001,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.5145,-84.11586,STM
47,SQR,002,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.51362,-84.11764,STM
48,SQR,003,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.51278,-84.11596,STM
49,SQR,004,,,FALSE,FALSE,VR2 W,,,8/7/2011,46.51394,-84.11397,STM
50,SSM,001,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.5102,-84.34106,STM
51,SSM,002,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50894,-84.34162,STM
52,SSM,003,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50692,-84.34166,STM
53,SSM,004,,,FALSE,FALSE,VR2 W,,,8/3/2011,46.50049,-84.33755,STM
54,SSM,006,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50553,-84.33995,STM
55,SSM,008,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.5062,-84.34212,STM
56,SSM,009,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50589,-84.34477,STM
57,SSM,010,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50696,-84.34477,STM
58,SSM,011,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.5078,-84.34188,STM
59,SSM,012,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50816,-84.34528,STM
60,SSM,013,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50851,-84.34321,STM
61,SSM,014,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50963,-84.3393,STM
62,SSM,015,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.51116,-84.34283,STM
63,SSM,016,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.51163,-84.34044,STM
64,SSM,018,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.51284,-84.34411,STM
65,SSM,019,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.51307,-84.34192,STM
66,SSM,020,,,FALSE,FALSE,VR2 W,,,8/4/2011,46.50953,-84.34276,STM
67,STR,001,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.31731,-84.11905,STM
68,STR,002,,,FALSE,FALSE,VR2 W,,,8/6/2011,46.31875,-84.11188,STM
69,URC,004,,,FALSE,FALSE,VR2 W,,,8/5/2011,46.2864,-84.21157,STM
70,DRM,001,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.94178,-83.63134,DRM
71,DRM,002,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.94088,-83.63552,DRM
72,DRM,003,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93816,-83.63835,DRM
73,DRM,004,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.9406,-83.62964,DRM
74,DRM,005,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93938,-83.63202,DRM
75,DRM,006,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93615,-83.63294,DRM
76,DRM,007,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93781,-83.63483,DRM
77,DRM,008,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93891,-83.64212,DRM
78,DRM,009,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.9391,-83.64816,DRM
79,DRM,010,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93698,-83.64514,DRM
80,DRM,011,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93589,-83.64078,DRM
81,DRM,012,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93507,-83.63651,DRM
82,DRM,013,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.9386,-83.65316,DRM
83,DRM,014,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93607,-83.64985,DRM
84,DRM,015,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93441,-83.64559,DRM
85,DRM,016,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93234,-83.6419,DRM
86,DRM,017,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93221,-83.6375,DRM
87,DRM,018,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93284,-83.6334,DRM
88,DRM,019,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93604,-83.65455,DRM
89,DRM,020,,,FALSE,FALSE,VR2 W,,,11/11/2010,45.93311,-83.65005,DRM
90,DRM,021,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93376,-83.65683,DRM
91,DRM,022,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.9313,-83.65454,DRM
92,DRM,023,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92976,-83.64763,DRM
93,DRM,024,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92882,-83.64224,DRM
94,DRM,025,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92884,-83.63797,DRM
95,DRM,026,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92899,-83.63328,DRM
96,DRM,027,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92874,-83.62829,DRM
97,DRM,028,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93335,-83.66393,DRM
98,DRM,029,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93129,-83.65955,DRM
99,DRM,030,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92783,-83.65276,DRM
100,DRM,031,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.93028,-83.66578,DRM
101,DRM,032,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92874,-83.66133,DRM
102,DRM,033,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92809,-83.65795,DRM
103,DRM,034,,,FALSE,FALSE,VR2 W,,,11/9/2010,45.92489,-83.65567,DRM
104,DRM,035,,,FALSE,FALSE,VR2 W,,,11/10/2010,45.92622,-83.66004,DRM
