ID,ANIMAL_ID,TAG_TYPE,TAG_MANUFACTURER,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_IMPLANT_TYPE,TAG_ACTIVATION_DATE,EST_TAG_LIFE,TAGGER,TAG_OWNER_PI,TAG_OWNER_ORGANIZATION,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,WILD_OR_HATCHERY,STOCK,LENGTH (m),WEIGHT (kg),LENGTH_TYPE,AGE,SEX,DNA_SAMPLE_TAKEN,TREATMENT_TYPE,RELEASE_GROUP,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,CAPTURE_DEPTH,TEMPERATURE_CHANGE,HOLDING_TEMPERATURE,SURGERY_LOCATION,DATE_OF_SURGERY,SURGERY_LATITUDE,SURGERY_LONGITUDE,SEDATIVE,SEDATIVE_CONCENTRATION,ANAESTHETIC,BUFFER,ANAESTHETIC_CONCENTRATION,BUFFER_CONCENTRATION_IN_ANAESTHETIC,ANESTHETIC_CONCENTRATION_IN_RECIRCULATION,BUFFER_CONCENTRATION_IN_RECIRCULATION,DISSOLVED_OXYGEN (ppm),COMMENTS,GLATOS_STUDY
1,,,,,,31942,A69-9001-31942,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
2,,,,,,31943,A69-9001-31943,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
3,,,,,,31944,A69-9001-31944,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
4,,,,,,31945,A69-9001-31945,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
5,,,,,,31946,A69-9001-31946,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
6,,,,,,31947,A69-9001-31947,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
7,,,,,,31948,A69-9001-31948,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
8,,,,,,31949,A69-9001-31949,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
9,,,,,,31950,A69-9001-31950,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
10,,,,,,31951,A69-9001-31951,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
11,,,,,,31952,A69-9001-31952,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
12,,,,,,31953,A69-9001-31953,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
13,,,,,,31954,A69-9001-31954,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
14,,,,,,31955,A69-9001-31955,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
15,,,,,,31956,A69-9001-31956,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
16,,,,,,31957,A69-9001-31957,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
17,,,,,,31958,A69-9001-31958,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
18,,,,,,31959,A69-9001-31959,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
19,,,,,,31960,A69-9001-31960,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
20,,,,,,31961,A69-9001-31961,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
21,,,,,,31962,A69-9001-31962,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
22,,,,,,31963,A69-9001-31963,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
23,,,,,,31964,A69-9001-31964,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
24,,,,,,31965,A69-9001-31965,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
25,,,,,,31966,A69-9001-31966,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
26,,,,,,31967,A69-9001-31967,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
27,,,,,,31968,A69-9001-31968,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
28,,,,,,31969,A69-9001-31969,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
29,,,,,,31970,A69-9001-31970,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
30,,,,,,31971,A69-9001-31971,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
31,,,,,,31972,A69-9001-31972,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
32,,,,,,31973,A69-9001-31973,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
33,,,,,,31974,A69-9001-31974,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
34,,,,,,31975,A69-9001-31975,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
35,,,,,,31976,A69-9001-31976,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
36,,,,,,31977,A69-9001-31977,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
37,,,,,,31978,A69-9001-31978,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
38,,,,,,31979,A69-9001-31979,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
39,,,,,,31980,A69-9001-31980,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
40,,,,,,31981,A69-9001-31981,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
41,,,,,,31982,A69-9001-31982,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
42,,,,,,31983,A69-9001-31983,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
43,,,,,,31984,A69-9001-31984,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
44,,,,,,31985,A69-9001-31985,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
45,,,,,,31986,A69-9001-31986,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
46,,,,,,31987,A69-9001-31987,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
47,,,,,,31988,A69-9001-31988,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Maumee River,,,3/28/2011,,,,,,,,,,,,,,,,,,HEC
48,,,,,,31989,A69-9001-31989,,,,,,,walleye,,,,,,,,,,,,FALSE,,,Tittabawassee River,,,4/4/2011,,,,,,,,,,,,,,,,,,HEC
